PLANIFICACIÓN ANUAL COMPLETA - FÚTBOL FEMENINO 15-16 AÑOS - NIVEL MEDIO-ALTO
,,,,,,,,,,,,
AÑO CORRIDO | Vacaciones: 20 Dic - 04 Ene | Pretemporada: 05-30 Ene | Competencia: 31 Ene | 4 TORNEOS ANUALES,,,,,,,,,,,,
,,,,,,,,,,,,

MACROCICLO,MESOCICLO,PERÍODO,FECHAS,SEMANA,FASE,MICROCICLO,OBJETIVOS,CAPACIDADES FÍSICAS,CAPACIDADES TÉCNICAS,CAPACIDADES TÁCTICAS,CAPACIDADES MENTALES,VOL,INT
,MESOCICLO 6,COMPETITIVO,31 Ene - 06 Feb,7,Competición,MC7,"🏆 PARTIDO 1 (31 Ene) + Mantenimiento","Fuerza mantenimiento 2 vueltas, Regeneración, Velocidad","Corrección errores, Automatismos","Ajustes tácticos, Estrategia rival 2","Gestión emocional, Análisis",50%,85%
,,,31 Ene,7,Partido 1,PARTIDO,"🏆 PARTIDO 1 - INICIO TORNEO 1","Activación pre-partido","Automatismos","Aplicación modelo juego","Concentración 90min",40%,95%

,MESOCICLO 7,COMPETITIVO,07-13 Feb,8,Competición,MC8,"🏆 PARTIDO 2 (07 Feb) + Mantenimiento","Mantenimiento óptimo, Regeneración, Agilidad","Perfeccionamiento técnico","Adaptación táctica, Variantes","Mantener motivación, Resiliencia",50%,85%
,,,07 Feb,8,Partido 2,PARTIDO,"🏆 PARTIDO 2","Activación","Automatismos perfectos","Estrategia rival 2","Mentalidad ganadora",40%,95%

,MESOCICLO 8,COMPETITIVO,14-28 Feb,9-10,Competición,MC9-10,"🏆 PARTIDO 3 (14 Feb) + Cierre Torneo 1","Mantenimiento, Regeneración entre partidos","Confianza técnica, Corrección","Estrategia según clasificación","Gestión presión, Cohesión",48%,88%
,,,14 Feb,9,Partido 3,PARTIDO,"🏆 PARTIDO 3","Activación perfecta","Automatismos","Estrategia definitiva","Mentalidad campeón",40%,98%
,,,15-28 Feb,9-10,Post-torneo 1,MC9-10,"Evaluación Torneo 1, Recuperación","Regeneración activa","Análisis técnico","Análisis táctico","Reflexión, Motivación",45%,60%

========================================,,,,,,,,,,,,
MACROCICLO 3 - DESARROLLO INTERMEDIO (01 Mar - 30 Abr),,,,,,,,,,,,
========================================,,,,,,,,,,,,

,MESOCICLO 9,TRANSITORIO,01-14 Mar,11-12,Transición + Desarrollo,MC11-12,"Recuperación post-torneo 1, Desarrollo","Regeneración activa, Reinicio progresivo","Trabajo técnico variado","Mejora táctica, Nuevos conceptos","Reflexión, Análisis, Nuevos objetivos",40%,45%
,,,01-07 Mar,11,Transición,MC11,"Recuperación activa","Regeneración, Actividades alternativas","Técnica recreativa","Sin consignas intensas","Desconexión breve",35%,40%
,,,08-14 Mar,12,Desarrollo,MC12,"Reinicio progresivo","Carrera 25min, Fuerza 3 vueltas, Core","Pases, Conducción, Control","Rondos, Posicionamiento","Remotivación",50%,50%

,MESOCICLO 10,PRECOMPETITIVO,15 Mar - 11 Abr,13-16,Acumulación,MC13-16,"Desarrollo completo de capacidades","Resistencia, Fuerza, Core, Intermitente","Técnica completa, Mejora individual","Modelo juego, Variantes tácticas","Objetivos, Trabajo equipo",68%,62%
,,,15-21 Mar,13,Acumulación,MC13,"Base física","Carrera 30min, Fuerza 4x15, Core","Pases, Golpeo, 1vs1","Rondos, 4vs4, Posicionamiento","Comunicación",65%,58%
,,,22-28 Mar,14,Acumulación,MC14,"Fuerza resistencia","Fartlek, Intermitente, Fuerza funcional","Técnica movimiento, Centros","Pressing, Transiciones, 5vs5","Disciplina",70%,62%
,,,29 Mar - 04 Abr,15,Acumulación,MC15,"Incremento cargas","Resistencia específica, Fuerza 4x15","Remates, Juego aéreo, Definición","Modelo juego, Oleadas, Situaciones","Concentración",72%,65%
,,,05-11 Abr,16,Acumulación,MC16,"Pico de carga","Intermitente 15/15, Fuerza máxima","Técnica bajo fatiga","Ensayo táctico completo","Persistencia",72%,68%

,MESOCICLO 11,PRECOMPETITIVO,12-25 Abr,17-18,Transformación,MC17-18,"Potencia, Velocidad, Especificidad","Pliometría, Velocidad, Agilidad","Técnica alta intensidad, Automatismos","Ensayo táctico, Balón parado, Estrategia","Toma decisiones, Confianza",70%,75%
,,,12-18 Abr,17,Transformación,MC17,"Fuerza explosiva","Pliometría 4x8, Sprints 6x20m, Cambios dirección","Sprint+control+disparo, Definición","Transiciones, Pressing 6seg","Visualización",72%,72%
,,,19-25 Abr,18,Transformación,MC18,"Especificidad","Velocidad reacción, Agilidad con balón","Técnica bajo presión, Automatismos","Modelo juego completo","Concentración bajo fatiga",68%,78%

,MESOCICLO 12,PRECOMPETITIVO,26-30 Abr,19,Realización,MC19,"Tapering pre-torneo 2","Activación, Volumen reducido","Automatismos, Precisión","Estrategia, Plan partido","Activación óptima, Rituales",45%,82%

========================================,,,,,,,,,,,,
MACROCICLO 4 - COMPETITIVO TORNEO 2 (01 May - 31 May),,,,,,,,,,,,
========================================,,,,,,,,,,,,

,MESOCICLO 13,COMPETITIVO,01-31 May,20-23,Competición Torneo 2,MC20-23,"🏆 TORNEO 2 (Fechas por definir)","Mantenimiento, Regeneración entre partidos","Corrección, Automatismos","Adaptación táctica según rivales","Gestión emocional, Resiliencia",50%,85%
,,,01-07 May,20,Competición,MC20,"Semana competitiva 1 - Torneo 2","Fuerza mantenimiento, Velocidad, Regeneración","Según análisis partido","Estrategia rival, Ajustes","Mentalidad competitiva",52%,82%
,,,08-14 May,21,Competición,MC21,"Semana competitiva 2 - Torneo 2","Mantenimiento, Agilidad, Activación","Corrección errores, Precisión","Variantes tácticas, Balón parado","Fortaleza mental",50%,85%
,,,15-21 May,22,Competición,MC22,"Semana competitiva 3 - Torneo 2","Mantenimiento óptimo, Regeneración","Automatismos perfectos","Adaptabilidad táctica","Liderazgo, Cohesión",50%,88%
,,,22-31 May,23,Cierre Torneo 2,MC23,"Cierre Torneo 2 / Evaluación","Mantenimiento o Regeneración","Análisis técnico","Análisis táctico","Reflexión, Celebración",45%,82%

========================================,,,,,,,,,,,,
MACROCICLO 5 - DESARROLLO + TORNEO 3 (01 Jun - 31 Ago) - INCLUYE JULIO SIN VACACIONES,,,,,,,,,,,,
========================================,,,,,,,,,,,,

,MESOCICLO 14,TRANSITORIO,01-14 Jun,24-25,Transición + Desarrollo,MC24-25,"Recuperación post-torneo 2, Desarrollo","Regeneración activa, Reinicio progresivo","Trabajo técnico variado","Mejora táctica","Reflexión, Nuevos objetivos",40%,45%
,,,01-07 Jun,24,Transición,MC24,"Recuperación activa","Regeneración, Actividades alternativas","Técnica recreativa","Sin consignas intensas","Desconexión breve",35%,40%
,,,08-14 Jun,25,Desarrollo,MC25,"Reinicio progresivo","Carrera 25min, Fuerza 3 vueltas, Core","Pases, Conducción, Control","Rondos, Posicionamiento","Remotivación",50%,50%

,MESOCICLO 15,PRECOMPETITIVO,15 Jun - 20 Jul,26-31,Acumulación,MC26-31,"Desarrollo completo (incluye julio - SIN VACACIONES)","Resistencia, Fuerza, Core","Técnica completa, Mejora individual","Modelo juego, Variantes","Trabajo equipo, Compromiso",68%,62%
,,,15-21 Jun,26,Acumulación,MC26,"Base física","Carrera 30min, Fuerza 4 vueltas, Core","Pases, Conducción, Golpeo","Rondos, 4vs4","Comunicación",65%,58%
,,,22-28 Jun,27,Acumulación,MC27,"Fuerza resistencia","Fartlek, Intermitente, Fuerza funcional","Técnica movimiento, 1vs1","Pressing, Transiciones, 5vs5","Disciplina",70%,62%
,,,29 Jun - 05 Jul,28,Acumulación,MC28,"⚠️ JULIO - TRABAJO CONTINUO","Resistencia específica, Fuerza 4x15","Centros, Remates","Modelo juego, Oleadas","Concentración",72%,65%
,,,06-12 Jul,29,Acumulación,MC29,"Pico de carga - JULIO","Intermitente 15/15, Fuerza máxima","Definición, Juego aéreo","Situaciones específicas","Persistencia",72%,68%
,,,13-20 Jul,30-31,Acumulación,MC30-31,"Mantenimiento carga - JULIO","Resistencia específica, Fuerza funcional","Técnica variada","Ensayo táctico","Motivación sostenida",70%,65%

,MESOCICLO 16,PRECOMPETITIVO,21 Jul - 10 Ago,32-34,Transformación,MC32-34,"Potencia, Velocidad, Especificidad","Pliometría, Velocidad, Agilidad","Técnica alta intensidad, Automatismos","Ensayo táctico, Estrategia","Toma decisiones, Confianza",70%,75%
,,,21-27 Jul,32,Transformación,MC32,"Fuerza explosiva","Pliometría 4x8, Sprints, Cambios dirección","Sprint+control+disparo","Transiciones, Pressing 6seg","Visualización",72%,72%
,,,28 Jul - 03 Ago,33,Transformación,MC33,"Velocidad específica","Velocidad reacción, Agilidad con balón","Automatismos, Definición","Modelo juego completo","Anticipación",70%,75%
,,,04-10 Ago,34,Transformación,MC34,"Especificidad pre-torneo","Agilidad, Activación neuromuscular","Técnica bajo presión","Estrategia torneo 3","Preparación mental",68%,78%

,MESOCICLO 17,PRECOMPETITIVO,11-14 Ago,35,Realización,MC35,"Tapering pre-torneo 3","Activación, Volumen reducido","Automatismos, Precisión","Estrategia, Plan partido","Activación óptima, Rituales",45%,82%

,MESOCICLO 18,COMPETITIVO,15-31 Ago,36-37,Competición Torneo 3,MC36-37,"🏆 TORNEO 3 (Fechas por definir)","Mantenimiento, Regeneración","Corrección, Automatismos","Adaptación táctica","Gestión emocional",50%,88%
,,,15-22 Ago,36,Competición,MC36,"Semana competitiva 1 - Torneo 3","Fuerza mantenimiento, Velocidad","Según análisis partido","Estrategia rival, Ajustes","Mentalidad competitiva",52%,85%
,,,23-31 Ago,37,Competición/Cierre,MC37,"Semana competitiva 2 / Cierre Torneo 3","Mantenimiento, Regeneración","Automatismos","Adaptabilidad","Cohesión, Celebración",48%,90%

========================================,,,,,,,,,,,,
MACROCICLO 6 - DESARROLLO + TORNEO 4 CIERRE (01 Sep - 19 Dic),,,,,,,,,,,,
========================================,,,,,,,,,,,,

,MESOCICLO 19,TRANSITORIO,01-14 Sep,38-39,Transición + Desarrollo,MC38-39,"Recuperación post-torneo 3, Desarrollo","Regeneración activa, Reinicio progresivo","Trabajo técnico variado","Mejora táctica","Reflexión, Objetivos cierre año",40%,45%
,,,01-07 Sep,38,Transición,MC38,"Recuperación activa","Regeneración, Actividades alternativas","Técnica recreativa","Sin consignas intensas","Desconexión breve",35%,40%
,,,08-14 Sep,39,Desarrollo,MC39,"Reinicio progresivo","Carrera 25min, Fuerza 3 vueltas, Core","Pases, Conducción","Rondos, Posicionamiento","Remotivación",50%,50%

,MESOCICLO 20,PRECOMPETITIVO,15 Sep - 26 Oct,40-45,Acumulación,MC40-45,"Desarrollo completo para cierre de año","Resistencia, Fuerza, Core","Técnica completa, Mejora individual","Modelo juego, Variantes","Trabajo equipo",68%,62%
,,,15-21 Sep,40,Acumulación,MC40,"Base física","Carrera 30min, Fuerza 4 vueltas, Core","Pases, Conducción, Golpeo","Rondos, 4vs4","Comunicación",65%,58%
,,,22-28 Sep,41,Acumulación,MC41,"Fuerza resistencia","Fartlek, Intermitente, Fuerza funcional","Técnica movimiento, 1vs1","Pressing, Transiciones, 5vs5","Disciplina",70%,62%
,,,29 Sep - 05 Oct,42,Acumulación,MC42,"Incremento cargas","Resistencia específica, Fuerza 4x15","Centros, Remates","Modelo juego, Oleadas","Concentración",72%,65%
,,,06-12 Oct,43,Acumulación,MC43,"Pico de carga","Intermitente 15/15, Fuerza máxima","Definición, Juego aéreo","Situaciones específicas","Persistencia",72%,68%
,,,13-19 Oct,44,Acumulación,MC44,"Mantenimiento carga","Resistencia específica, Fuerza funcional","Técnica variada","Ensayo táctico","Motivación",70%,65%
,,,20-26 Oct,45,Acumulación,MC45,"Especificidad","Resistencia específica futbol","Automatismos","Modelo juego completo","Preparación mental",68%,68%

,MESOCICLO 21,PRECOMPETITIVO,27 Oct - 16 Nov,46-48,Transformación,MC46-48,"Potencia, Velocidad, Especificidad torneo final","Pliometría, Velocidad, Agilidad","Técnica alta intensidad, Automatismos","Ensayo táctico, Estrategia","Toma decisiones, Confianza",70%,75%
,,,27 Oct - 02 Nov,46,Transformación,MC46,"Fuerza explosiva","Pliometría 4x8, Sprints, Cambios dirección","Sprint+control+disparo","Transiciones, Pressing 6seg","Visualización",72%,72%
,,,03-09 Nov,47,Transformación,MC47,"Velocidad específica","Velocidad reacción, Agilidad con balón","Automatismos, Definición","Modelo juego completo","Anticipación",70%,75%
,,,10-16 Nov,48,Transformación,MC48,"Especificidad pre-torneo final","Agilidad, Activación neuromuscular","Técnica bajo presión, Balón parado","Estrategia torneo 4","Preparación mental",68%,78%

,MESOCICLO 22,PRECOMPETITIVO,17-20 Nov,49,Realización,MC49,"Tapering pre-torneo 4","Activación, Volumen reducido","Automatismos, Precisión","Estrategia, Plan partido","Activación óptima, Rituales",45%,85%

,MESOCICLO 23,COMPETITIVO,21 Nov - 15 Dic,50-53,Competición Torneo 4,MC50-53,"🏆 TORNEO 4 FINAL (Fechas por definir)","Mantenimiento, Regeneración","Corrección, Automatismos","Adaptación táctica","Gestión emocional, Máxima concentración",50%,90%
,,,21-27 Nov,50,Competición,MC50,"Semana competitiva 1 - Torneo 4","Fuerza mantenimiento, Velocidad","Según análisis partido","Estrategia rival, Ajustes","Mentalidad competitiva",52%,85%
,,,28 Nov - 04 Dic,51,Competición,MC51,"Semana competitiva 2 - Torneo 4","Mantenimiento, Agilidad","Corrección, Precisión","Variantes tácticas","Fortaleza mental",50%,88%
,,,05-11 Dic,52,Competición,MC52,"Semana competitiva 3 - Torneo 4","Mantenimiento óptimo","Automatismos perfectos","Adaptabilidad","Liderazgo, Cohesión",50%,90%
,,,12-15 Dic,53,Cierre Torneo 4,MC53,"Cierre Torneo 4 / Fin competición","Según resultado","Análisis final","Conclusiones tácticas","Celebración, Reflexión",45%,85%

,MESOCICLO 24,CIERRE,16-19 Dic,54,Evaluación Anual,MC54,"Evaluación anual, Cierre temporada","Regeneración, Evaluación física","Análisis técnico anual","Análisis táctico anual","Reflexión, Celebración, Despedida",30%,50%

========================================,,,,,,,,,,,,
VACACIONES (20 Dic - 04 Ene),,,,,,,,,,,,
========================================,,,,,,,,,,,,

,MESOCICLO 25,TRANSITORIO,20 Dic - 04 Ene,55,VACACIONES,MC55,"Descanso total, Recuperación completa","Descanso total, Sin obligaciones físicas","Sin trabajo técnico","Sin trabajo táctico","Desconexión total, Familia, Fiestas",10%,15%

→ REINICIO: 05 de Enero - Nueva Pretemporada (4 semanas),,,,,,,,,,,,
→ COMPETENCIA: 31 de Enero,,,,,,,,,,,,

,,,,,,,,,,,,
========================================,,,,,,,,,,,,
RESUMEN ANUAL - MACROCICLOS (4 TORNEOS),,,,,,,,,,,,
========================================,,,,,,,,,,,,
MACROCICLO,PERÍODO,FECHAS,SEMANAS,MESOCICLOS,TORNEOS,OBJETIVO,VOL,INT,,,,,
1 - Transición + Pretemporada,Mixto,20 Dic - 30 Ene,1-6,1-5,Preparación,Vacaciones + Pretemporada 4 sem,BAJO→ALTO,BAJA→ALTA,,,,,
2 - Competitivo T1,Competitivo,31 Ene - 28 Feb,7-10,6-8,🏆 TORNEO 1 ✅,31 Ene - 7 Feb - 14 Feb,MEDIO,ALTA,,,,,
3 - Desarrollo Intermedio,Desarrollo,01 Mar - 30 Abr,11-19,9-12,Desarrollo,Preparación Torneo 2,MEDIO-ALTO,MEDIA-ALTA,,,,,
4 - Competitivo T2,Competitivo,01 May - 31 May,20-23,13,🏆 TORNEO 2 ⏳,Fechas por definir,MEDIO,ALTA,,,,,
5 - Desarrollo + T3,Mixto,01 Jun - 31 Ago,24-37,14-18,🏆 TORNEO 3 ⏳,JULIO SIN VACACIONES,MEDIO-ALTO,MEDIA-ALTA,,,,,
6 - Desarrollo + T4,Mixto,01 Sep - 19 Dic,38-54,19-24,🏆 TORNEO 4 ⏳,Cierre de año,MEDIO-ALTO,ALTA,,,,,
VACACIONES,Transitorio,20 Dic - 04 Ene,55,25,---,Descanso total,MUY BAJO,MUY BAJA,,,,,

,,,,,,,,,,,,
========================================,,,,,,,,,,,,
4 TORNEOS ANUALES,,,,,,,,,,,,
========================================,,,,,,,,,,,,
TORNEO,PERÍODO,PARTIDOS,ESTADO,,,,,,,,,,
🏆 Torneo 1,31 Ene - Feb,"P1: 31 Ene, P2: 07 Feb, P3: 14 Feb",✅ CONFIRMADO,,,,,,,,,,
🏆 Torneo 2,Mayo,Por definir,⏳ PENDIENTE,,,,,,,,,,
🏆 Torneo 3,Agosto,Por definir,⏳ PENDIENTE,,,,,,,,,,
🏆 Torneo 4,Nov-Dic,Por definir - CIERRE AÑO,⏳ PENDIENTE,,,,,,,,,,

,,,,,,,,,,,,
========================================,,,,,,,,,,,,
FECHAS CLAVE,,,,,,,,,,,,
========================================,,,,,,,,,,,,
EVENTO,FECHA,OBSERVACIÓN,,,,,,,,,,,
Inicio Vacaciones,20 de Diciembre,Descanso total hasta 04 enero,,,,,,,,,,,
Retorno Entrenamientos,05 de Enero,Inicio Pretemporada,,,,,,,,,,,
Duración Pretemporada,05 - 30 de Enero,4 semanas,,,,,,,,,,,
🏆 TORNEO 1,31 de Enero - Febrero,✅ CONFIRMADO,,,,,,,,,,,
🏆 TORNEO 2,Mayo,⏳ Fechas por definir,,,,,,,,,,,
🏆 TORNEO 3,Agosto,⏳ Fechas por definir,,,,,,,,,,,
🏆 TORNEO 4,Noviembre-Diciembre,⏳ Cierre de año,,,,,,,,,,,
Cierre Año,19 de Diciembre,Último día antes de vacaciones,,,,,,,,,,,
,,,,,,,,,,,,
========================================,,,,,,,,,,,,
NOTA: EN JULIO NO HAY VACACIONES - TRABAJO CONTINUO,,,,,,,,,,,,
========================================,,,,,,,,,,,,
